number of equals = 1350				
number of contains = 605				
Kind of Match	Subject	Relation	Object	Context
Contains	Irving Kane Pond	Occupation	Architect	After graduating from Michigan, Pond moved to Chicago where he worked as an architect from 1879 to 1939. He began his architectural career as a draftsman in the offices of William LeBaron Jenney and worked as the head draftsman in the office of Solon Spencer Beman during the construction of the planned Pullman community. In 1886, Pond formed the Chicago architectural firm Pond and Pond in partnership with his brother Allen Bartlitt Pond. The Pond brothers worked together for more than 40 years, and their buildings are considered to be among the best examples of Arts and Crafts architecture in Chicago. The Ponds gained acclaim as the architects of Jane Addams' Hull House, and three of their buildings have been declared National Historic Landmarks—the Hull House dining hall, the Lorado Taft Midway Studios, and the Frank R. Lillie House. Pond became a Fellow of the American Institute of Architects in 1900 and served as president of the American Institute of Architects from 1910 to 1911.
Contains	Irving Kane Pond	Occupation	Architect	After graduating from Michigan, Pond moved to Chicago where he worked as an architect from 1879 to 1939. He began his architectural career as a draftsman in the offices of William LeBaron Jenney and worked as the head draftsman in the office of Solon Spencer Beman during the construction of the planned Pullman community. In 1886, Pond formed the Chicago architectural firm Pond and Pond in partnership with his brother Allen Bartlitt Pond. The Pond brothers worked together for more than 40 years, and their buildings are considered to be among the best examples of Arts and Crafts architecture in Chicago. The Ponds gained acclaim as the architects of Jane Addams' Hull House, and three of their buildings have been declared National Historic Landmarks—the Hull House dining hall, the Lorado Taft Midway Studios, and the Frank R. Lillie House. Pond became a Fellow of the American Institute of Architects in 1900 and served as president of the American Institute of Architects from 1910 to 1911.
Equal	Jacques Nolot	Occupation	Actor	Jacques Nolot (French: [nɔlo]; born 31 August 1943) is a French actor, screenwriter and film director.
Equal	James Baba	Occupation	Politician	James Boliba Baba is a Ugandan politician and former diplomat. He is the current State Minister for Internal Affairs in the Ugandan Cabinet. He was appointed to that position on 27 May 2011. He replaced Matia Kasaija, who was appointed State Minister of Finance for Planning. Prior to that, he served as the State Minister in the Office of the Vice President, from 2006 until 2011. On account of his cabinet ministerial position, he is also an ex-officio Member of Parliament (MP).
Equal	James Rhine	Occupation	Host	James Rhine (born December 6, 1975), is an American television talk-show host, actor, producer and model. He most recently appeared as a host and interviewer on "Celeb TV" in Chicago and is a recurring guest host on "In the Loop" on WYCC Chicago. He was the lead host and an associate producer of 3 Guys in a Booth, a nationally televised talk-show filmed in Chicago that aired on NBC NonStop stations. He was also a recurring host for SuperPass on Real Networks. He was a contestant on the Big Brother 6 (U.S.) and Big Brother: All-Stars seasons of the CBS reality show Big Brother and was featured in the "Sexiest Men of Reality TV 2007" calendar representing the month of June. He was also a winner of the Sexiest Male of Reality TV 2006 award.
Equal	James Rhine	Occupation	Host	James Rhine (born December 6, 1975), is an American television talk-show host, actor, producer and model. He most recently appeared as a host and interviewer on "Celeb TV" in Chicago and is a recurring guest host on "In the Loop" on WYCC Chicago. He was the lead host and an associate producer of 3 Guys in a Booth, a nationally televised talk-show filmed in Chicago that aired on NBC NonStop stations. He was also a recurring host for SuperPass on Real Networks. He was a contestant on the Big Brother 6 (U.S.) and Big Brother: All-Stars seasons of the CBS reality show Big Brother and was featured in the "Sexiest Men of Reality TV 2007" calendar representing the month of June. He was also a winner of the Sexiest Male of Reality TV 2006 award.
Equal	James Rhine	Occupation	Host	James Rhine (born December 6, 1975), is an American television talk-show host, actor, producer and model. He most recently appeared as a host and interviewer on "Celeb TV" in Chicago and is a recurring guest host on "In the Loop" on WYCC Chicago. He was the lead host and an associate producer of 3 Guys in a Booth, a nationally televised talk-show filmed in Chicago that aired on NBC NonStop stations. He was also a recurring host for SuperPass on Real Networks. He was a contestant on the Big Brother 6 (U.S.) and Big Brother: All-Stars seasons of the CBS reality show Big Brother and was featured in the "Sexiest Men of Reality TV 2007" calendar representing the month of June. He was also a winner of the Sexiest Male of Reality TV 2006 award.
Equal	Jean Capart	Occupation	Egyptologist	Jean Capart (February 21, 1877 – June 16, 1947) was a Belgian Egyptologist, director of the El-Kab excavations from 1937 to 1939 and then 1945.
Equal	Jef Elbers	Occupation	Singer	Jef Elbers (born 19 September 1947) is a Flemish singer, script writer, and political activist.
Equal	Jennifer Namuyangu	Occupation	Politician	Jennifer Namuyangu Byakatonda, sometimes spelled as Jenipher Namuyangu, but commonly known as Jennifer Namuyangu, is a Ugandan politician and forester. She is the State Minister for Local Government in the Ugandan Cabinet. She was appointed to that position on 6 June 2016. She previously served as the State Minister for Water Resources, from 1 June 2006 until 27 May 2011. In the Cabinet reshuffle on 27 May 2011, she was dropped from the cabinet and was replaced by Betty Bigombe. She also served as the elected Member of Parliament for Pallisa District Women's Representative, from 2001 until 2011. In 2010, Pallisa District was split into two, to create Kibuku District. Jennifer Namuyangu contested for the parliamentary seat of "Kibuku County", Kibuku District. She lost to Saleh Kamba by a wide margin.
Equal	John Byabagambi	Occupation	Engineer	John Byabagambi (born 8 May 1958) is a Ugandan engineer and politician. He is the Cabinet Minister for Karamoja Affairs, in the Cabinet of Uganda. He was appointed to that position on 6 June 2016. He previously served as Minister of Works and Transport between March 2015 and June 2016, replacing Abraham Byandala who was appointed Minister Without Portfolio. He is also the elected Member of Parliament, representing Ibanda County South, Ibanda District. He was first elected to that position in 2001.
Contains	John Skelton Williams	Occupation	Comptroller	John Skelton Williams (July 6, 1865 – November 4, 1926) was a United States Comptroller of the Currency from 1914 to 1921 and the first president of the Seaboard Air Line Railway.
Equal	John Wellington Ennis	Occupation	Filmmaker	John Wellington Ennis (born February 21, 1973 in Los Angeles, California) is an American filmmaker, activist, and blogger. In 2004, he directed a film starring Amy Poehler and the Upright Citizens Brigade titled Wild Girls Gone. He is the co-founder of Video the Vote, a non-partisan group interested in documenting problems at U.S. polls. Ennis and Video the Vote co-created Free for All, a 2008 documentary about fraud in U.S. elections. He is also the founder of Shoot First, Inc., a film production company. His latest film is Pay 2 Play: Democracy's High Stakes, a feature-length documentary about the corrupting influence of money in our political system, featuring Robert Reich, Lawrence Lessig, John Nichols, Marianne Williamson and more...
Equal	Joseph G. Fucilla	Occupation	Hispanist	Joseph Guerin Fucilla (14 December 1897 - 22 March 1981) born in Chicago, December 14, 1897, deceased in Evanston, Illinois, March 22, 1981, was a Hispanist and an American lexicographer.
Equal	Kalyani Bondre	Occupation	Vocalist	Dr Kalyani Bondre (born 1981) is an academic and Indian classical vocalist.
Equal	Katie Jarvis	Occupation	Actress	Katie Jarvis (born 22 June 1991) is an English actress, known for her role as Mia Williams in the film Fish Tank. She was spotted by a casting agent, following an argument with her boyfriend at Tilbury Town railway station.
Equal	Kevin Jubinville	Occupation	Actor	Kevin Jubinville (born April 28, 1967) is a Canadian actor, best known for playing The Shep in Degrassi: The Next Generation and Bob Venton in Rabbit Fall.
Equal	Kevin Wade	Occupation	Screenwriter	Kevin Wade (born March 9, 1954) is an American screenwriter and television producer.
Equal	Kirk Fox	Occupation	Actor	Kirk Fox (born August 26, 1969) is an American actor, screenwriter, and stand-up comedian.
Equal	Kostas Triantafyllopoulos	Occupation	Actor	Kostas Triantafyllopoulos (also written as Kostas Triantafillopoulos) (Greek: Κώστας Τριανταφυλλόπουλος) (born 8 February 1956 in Athinaio, Arcadia, Greece) is a Greek actor. He graduated from Theodosiadis's Drama School of Athens in 1977 and he has played a wide variety of roles on stage from Greek tragedy, Aristophanes and Shakespeare to contemporary American drama (Eugene O'Neill, Arthur Miller, Tennessee Williams, Joyce Carol Oates, Thornton Wilder, Sam Shepard). He's acted in many plays produced by the National Theatre of Greece and by other major Greek theaters. He's also starred in numerous television series and films. From November 1998 to July 1999 and from July 2002 to March 2003 he participated in the world grand tours of the National Theatre of Greece with the tragedies Medea by Euripides (Creon), Electra (Paedagogus) and Antigone (Guard) both by Sophocles. The tour included performances in France, Australia, Israel, Portugal, United States, Canada, Brasil, Germany, Italy, Cyprus, Denmark, Turkey, Bulgaria, China and Japan.
Equal	Lee Weaver	Occupation	Film	Lee Weaver (born April 10, 1930) is an American film and television actor.
Equal	Lina Spies	Occupation	Poet	Carellina Pieternella (Lina) Spies (born 6 March 1939 in Harrismith, in North-Eastern Free State South Africa) is an Afrikaans poet and academic.
Equal	Lisa Suhair Majaj	Occupation	Poet	Lisa Suhair Majaj (born 1960) is a Palestinian-American poet and scholar. Born in Hawarden, Iowa, Majaj was raised in Jordan. She earned a B.A. in English literature from American University of Beirut and an M.A. in English Literature, an M.A. in American Culture and a PhD in American Culture from the University of Michigan. In 2001, she moved to Nicosia, Cyprus. Her poetry and essays have been widely published. In 2008, she was awarded the Del Sol Press Annual Poetry Prize for her poetry manuscript Geographies of Light. "In difficult times, poets and writers have always provided lifelines."
Equal	Marian Massonius	Occupation	Philosopher	Piotr Marian Massonius (1 February 1862 in Kursk, Russian Empire – 20 July 1945 in Vilnius (Wilno), prewar Second Polish Republic) was a Polish philosopher and teacher who was born into a family of expatriates during the Partitions of Poland.
Equal	Mario Wschebor	Occupation	Mathematician	Mario Wschebor Wonsever (3 December 1939 – 16 September 2011) was an Uruguayan mathematician. He earned his degree at the University of the Republic, Uruguay, where he was Dean of the Faculty of Sciences between 1987 and 1997, after actively participating in the process of its creation. Another important contribution from this period was the "Document of the four deans", in which the need to create a national system of tertiary education was laid out.
Equal	Marlyn Mason	Occupation	Actress	Marlyn Mason (born August 7, 1940, in San Fernando, California) is an American actress, producer, screenwriter.
Equal	Matia Kasaija	Occupation	Politician	Matia Kasaija is a Ugandan politician. He is the current Minister for Finance in Uganda's Cabinet. He was appointed to that position on 1 March 2015, replacing Maria Kiwanuka, who was appointed Senior Presidential Advisor for Finance. From 27 May 2011 until 28 February 2015, he served as the State Minister for Finance (Planning) in the Cabinet of Uganda. He replaced Ephraim Kamuntu, who was promoted to Minister of Tourism. Before that, he served as the State Minister for Internal Affairs, from 1 June 2006 until May 2011. He is also the elected Member of Parliament for "Buyanja County", Kibaale District.
Equal	Maurina Borges da Silveira	Occupation	Sister	Sister Maurina O.S.F. (1926–2011), born Maurina Borges da Silveira, was a Brazilian Roman Catholic Franciscan Sister. She was the only Religious Sister to be arrested and tortured during the period of Brazil's military dictatorship (1964–1985).
Equal	Michel Foret	Occupation	Politician	Michel Foret (born 19 April 1948) is a Belgian politician and lawyer. A member of the Reformist Movement, he is the current governor of Liège Province since 11 February 2004.
Contains	Mike Buresh	Occupation	Meteorologist	Shortly after graduating, Mike became a Certified Broadcast Meteorologist.
Contains	Mike Scroggins	Occupation	Bowler	Mike Scroggins (born March 12, 1964) is a left-handed professional ten-pin bowler and member of the Professional Bowlers Association (PBA), having joined in 1989. He resides in Amarillo, Texas. He has won eight PBA Tour titles in his career, including two majors. He won the USBC Masters in 2005 and the Lumber Liquidators 66th U.S. Open in 2009. He has also won three titles on the PBA50 Tour. Scroggins has 42 career PBA 300 games, and stands at over $1.28 million in career PBA Tour earnings following the 2015 season. According to current PBA rules, the two major titles make Scroggins eligible for the PBA Hall of Fame.
Equal	Molly Windsor	Occupation	Actor	Molly Windsor (born 19 June 1997) is an English actor from Nottingham, best known for starring as Lucy Manvers in the 2009 BAFTA winning television film The Unloved.
Equal	Muquim Ahmed	Occupation	Entrepreneur	Muquim Ahmed (born 1 September 1954) is a Bangladeshi-born British entrepreneur. He is thought to be the first Brick Lane millionaire.
Equal	Natasha Alam	Occupation	Actress	Natasha Alam (Russian: Наталья Анатольевна Шиманчук; born Natalia Anatolievna Shimanchuk) is a Uzbekistani actress and model.
Equal	Nichlas Vilsmark	Occupation	Florist	Nichlas Sorren Osman Vilsmark (born 24 July 1973) is a Danish florist and teacher, living and working in London, United Kingdom. He has worked on many major events, and was Head Florist for the wedding of the Danish Crown Prince in 2004.
Equal	Nik Wheeler	Occupation	Photographer	Nik Wheeler (1939- ) is a British-born photographer, known for taking what for years was the only known photograph of Carlos the Jackal. He began his career as a photojournalist during the Vietnam War.
Equal	Pablo Ramírez	Occupation	Sportscaster	Pablo Ramírez (born in Jalisco, Mexico) is a Mexican Spanish-language sportscaster in the United States. Ramírez primarily provides Spanish-language commentary for football (soccer) matches, currently working along with Jesus Bracamontes for the US-based Spanish-language TV station Univision. Nicknamed La Torre de Jalisco (the tower of Jalisco) due to his height, at 6'5"/196 cm.
Equal	Patrick Sabongui	Occupation	Actor	Patrick Sabongui (born January 9, 1975) is a Canadian actor, stunt performer, theatre actor and drama teacher.
Equal	Pavlo Hai-Nyzhnyk	Occupation	Historian	Pavlo Hai-Nyzhnyk (Ukrainian: Павло Павлович Гай-Нижник) was born on May 28, 1971 in Dunaivtsi of Western Podillya (Khmelnytskyi Oblast), Soviet Union and is a Ukrainian historian, Doctor of Historical Sciences, Senior Research Scientist at I.F.Kuras Institute of Political and Ethnic Studies of National Academy of Sciences of Ukraine, Academician of the Ukrainian Academy of Sciences (Kyiv), Head of Department of Historical Studies at the Scientific Research Institute of Ukrainian Studies (Kyiv), and Ukrainian poet (Laureate International Literature Prize I.Koshelivets by 2013).
Equal	Pepe Forbes	Occupation	Matchmaker	Joseph "Pepe" Forbes (17 September 1917, Gibraltar - 25 September 2013) is a Gibraltarian matchmaker and boxing agent based in London.
Contains	Petar Ičko	Occupation	Ottoman	Petar Ičko (Serbian Cyrillic: Петар Ичко, c. 1755–1808) was an Ottoman and later Serbian diplomat, a merchant by profession from Greek Macedonia. Surnamed Itskoglou (Greek: Ιτσκογλου, sr. Ičkoglija), according to some sources of Aromanian descent, was born in the village of Katranitsa, at the time in the Ottoman Empire (today Pyrgoi, Greece), a place with developed merchant traditions. He resettled to the north, managing his own commercial business, and was employed as a dragoman in Ottoman diplomatic missions in Berlin and probably in Vienna. Settling in Ottoman Belgrade towards the end of the 18th century, he became an affluent merchant. He closely collaborated with the Vizier of the Pashaluk of Belgrade, Hadži Mustafa Pasha, and according to some sources both of them were members of one Masonic Lodge. After the return to power of the renegade Janissaries (Dahije), he was forced in 1802 to move to Zemun, at that time a Habsburg Military Frontier town. After the outbreak of the First Serbian Uprising (1804), he began supporting and working with the Serbian rebels led by Karađorđe. He rendered them some valuable advice thanks to his diplomatic and trade skills. The rebel leaders sent him as their representative in Constantinople where he managed to obtain for them a favourable peace treaty, known as "Ičko's Peace". He returned and lived in Belgrade as an honorary citizen, but died there soon after, on 5 May 1808, probably poisoned.
Equal	Richard Urquhart Goode	Occupation	Geographer	Richard Urquhart Goode (December 8, 1858 - June 9, 1903) was an American geographer. He was born in Bedford, Virginia. He attended the University of Virginia before joining the U.S. Army Corps of Engineers in 1877. In 1879, he became a topographer with the newly created U.S. Geological Survey where he worked until 1879. From 1882-1882, Goode was attached to the Northern Transcontinental Railroad Survey as an engineer and topographer. In 1884 he rejoined the U.S. Geological Survey. In 1888, while on a leave of absence from the USGS, Goode served as an engineer and astronomerfor the Panama Canal Company. In 1889, he rejoined the Survey as a geographer and was placed in charge of surveys of the Pacific Coast States - California, Oregon, and Washington. He served in that role until his death.
Contains	Richard Wall	Occupation	Film	Wall was one of the main cast in Whatever Turns You On which won the Best Short Award at the Aspen Shortsfest in Colorado which made it eligible for consideration for the 82nd Academy Awards. The film also won Best Short Film at Florence International Film Festival Italy 2009, the award for Best Irish Short Film at the Kerry Film Festival 2008 and the Audience Award at Filmstock International Film Festival 2008 in Britain. In the same month it was short-listed for the award of Best Short Film at the Boston Irish Film Festival and received a theatrical release in Ireland and France. The short has also been snapped up by TV stations in Poland, Ireland, Belgium, France and the UK Channel 4
Equal	Richard Weissbourd	Occupation	Child	Richard Weissbourd (born 1957) is an American child and family psychologist on the faculty of Harvard's Graduate School of Education, where he operates the Human Development and Psychology Program, and Kennedy School of Government. His research focuses on children's moral development, on vulnerability and resilience in childhood, and on effective schools and services for children. His writings on these subjects have appeared in the New York Times, Forbes, Slate The Boston Globe, and The New Republic.
Contains	Robert W. Thomson	Occupation	Professor	Robert William Thomson (born 24 March 1934, Cheam, London UK) is retired Calouste Gulbenkian Professor of Armenian Studies at Oxford University.
Equal	Robin Brûlé	Occupation	Actress	Robin Brûlé (born 1972 in Ottawa, Ontario) is a Canadian actress, who is best known for her role as Susan Hunter in the Roxy Hunter series.
Equal	Rodrigo Arocena	Occupation	Mathematician	Rodrigo Arocena Linn (born February 23, 1947 in Montevideo) is an Uruguayan mathematician, and rector of the University of the Republic since July 2006.
Equal	Roman Šmucler	Occupation	Dentist	Roman Šmucler, MD, CSc (born 8 July 1969) is a Czech dentist, oral surgeon, specialist in laser and photonics medicine, university lecturer, entrepreneur, TV presenter and scriptwriter.
Equal	Ryan Rider	Occupation	Commentator	Ryan Rider (born May 23, 1988 in Montreal, Quebec) is a Canadian professional wrestling commentator, radio broadcaster, and Marketing Representative for Paramount Pictures. He currently works at CJAD 800AM in Montreal as a Technical Producer and Sports Reporter and CHOM 97.7 as a Producer. He is best known as the founder, producer, and host of CJLO's The Main Event. Over his radio career, he has also appeared on CFMB, CINQ-FM, and CBC Radio.
Contains	S. D. Shibulal	Occupation	Executive	S. D. Shibulal (born 1 March 1955, in Alappuzha, India), better known as Shibulal, is an Indian business executive. He was the chief Executive Officer and Managing Director of Infosys, and one of its seven founding members. He stepped down from the post of CEO and MD on 31 July 2014 and was succeeded by the first non-founder CEO of Infosys Dr. Vishal Sikka. He is the President of the Infosys Science Foundation for the year 2015.
Equal	Sammy Leslie	Occupation	Hotelier	Samantha "Sammy" Leslie (born 1966) is a female Irish hotelier, media personality and reality television show judge. She is the trustee of the Castle Leslie estate in County Monaghan, being responsible for a hotel, a spa, an equestrian centre and an organic cookery school. She acted as a judge alongside celebrity chef Derry Clarke and former radio and television presenter Bibi Baskin in the RTÉ One reality television series Fáilte Towers. She has also appeared on television programmes such as the RTÉ One series The Restaurant, where she appeared as a guest critic, and radio programmes such as the RTÉ Radio 1 programme Conversations with Eamon Dunphy.
Equal	Saule Iskakova	Occupation	Singer	Saule Iskakova (Russian: Сауле Искакова; born 12 September 1972) is a Russian singer and actress.
Equal	Sean Landless	Occupation	Actor	Sean Landless (born 1986) is an English actor who plays the lead role in the 2001 film, Gabriel & Me.
Equal	Shane Kenny	Occupation	Journalist	Shane Kenny is an Irish journalist and former government press officer who has broadcast for RTÉ, the BBC and the US ABC network. He has worked as a journalist for 30 years. From 1994 to 1997, he served as Ireland's Government Press Secretary. During his career at RTÉ, he created and launched RTÉ's most successful radio news programme, Morning Ireland.
Equal	Shawne Kleckner	Occupation	Entrepreneur	Shawne P. Kleckner (born May 22, 1972 in Webster City, Iowa) is an American entrepreneur, co-founder and president of Right Stuf, Inc., a company that distributes anime, manga, and figures/merchandise throughout the world.
Equal	Shin Fujiyama	Occupation	Philanthropist	Shin Fujiyama is a Japanese-American philanthropist who co-founded Students Helping Honduras. He graduated from the University of Mary Washington in 2007 with a Bachelor's degree in International Affairs and Pre-medicine. He and his sister, Cosmo Fujiyama, incorporated Students Helping Honduras in 2007 after visiting Honduras on a service learning trip for the first time. Shin speaks four languages fluently: Japanese, English, Spanish and Portuguese.
Equal	Sid Laverents	Occupation	Filmmaker	Sidney Nicklas "Sid" Laverents (August 5, 1908 – May 6, 2009) was an American amateur filmmaker, who started making films at home when he was 50. Recognized as one of the industry's most successful hobbyists, his 1970 film Multiple SIDosis is one of the few amateur films to have been selected for inclusion in the National Film Registry.
Contains	Sonia Friedman	Occupation	End	Sonia Anne Primrose Friedman OBE (née Freedman; born April 1965) is a British West End and Broadway theatre producer. She is the younger sister of director/actress/singer Maria Friedman, violinist Richard Friedman and Dr Sarah Beecham. Her younger brother, Ben, is a television director (currently director / producer of BRITISH BAKE OFF). On 29 January 2016 Sonia Friedman, was named Producer of the Year for the second year running at The Stage Awards, becoming the first person to win the award twice.
Contains	Steve Merritt	Occupation	Dancer	Steve Thomas Merritt was born Steve Thomas Michaels in San Jose, California, in 1945. He moved to Los Angeles in the mid-1960s and studied dance under David Winter while working as a dancer on a local TV show called The Farmer John Dance Show. He created the Solid Gold Dancers and performed on Casey Kasem's weekly Top Forty Countdown television show.
Equal	Steve Merritt	Occupation	Dancer	Steve Merritt (January 17, 1945 – January 26, 1993) was an American dancer and choreographer. Together with Nancy and Ronnie Horowitz and Mark Donnelly, Merritt created the musical Dream Street, which played in Las Vegas from 1983 to 1987. Merritt and Donnelly also conceived the Broadway-style format for the Chippendales show. In 1989 Merritt choreographed the opening number of the 61st Academy Awards presentation.
Equal	Sulaiman Madada	Occupation	Journalist	Sulaiman Kyebakoze Madada is a Ugandan journalist and politician. He is the State Minister for the Elderly and the Disabled in the Ugandan Cabinet. He was appointed to that position on 1 June 2006. In the cabinet reshuffle of 16 February 2009, and that of 27 May 2011,  he retained his cabinet post. He is also the elected Member of Parliament, representing Bbaale County, Kayunga District. He has represented that constituency continuously since 2001.
Contains	Sumet Jumsai	Occupation	Architect	Sumet Jumsai na Ayudhya (Thai: สุเมธ ชุมสาย ณ อยุธยา) (born 1939 in Bangkok, Thailand) is a Thai architect. He was named a National Artist of Thailand in 1998; Honorary Fellow of The American Institute of Architects 2001 ; Member of the French Académie d'Architecture 2002 ; Fellow Commoner, St.John's College, Cambridge, 2003 and 2013, where he earlier obtained a doctorate degree in architecture ; and Chevalier de l'Ordre des Arts et des Lettres (France) 2008. He is also a painter and author.
Equal	Sumet Jumsai	Occupation	Architect	Sumet Jumsai na Ayudhya (Thai: สุเมธ ชุมสาย ณ อยุธยา) (born 1939 in Bangkok, Thailand) is a Thai architect. He was named a National Artist of Thailand in 1998; Honorary Fellow of The American Institute of Architects 2001 ; Member of the French Académie d'Architecture 2002 ; Fellow Commoner, St.John's College, Cambridge, 2003 and 2013, where he earlier obtained a doctorate degree in architecture ; and Chevalier de l'Ordre des Arts et des Lettres (France) 2008. He is also a painter and author.
Equal	T. Abdul Rahman	Occupation	Footballer	T. Abdul Rahman (Malayalam: ടി. അബ്ദുല്‍ റഹ്‌മാന്‍) (1934 – 15 December 2002), popularly known as Olympian Rahman, was an Indian Olympian footballer from Kozhikode, Kerala. His playing position was defender. Rahman was a member of the Indian team that reached the semi-final in 1956 Melbourne Olympics.
Equal	Theresa Healey	Occupation	Actress	Theresa Healey is a New Zealand actress, known mostly for her role as nurse Carmen Roberts in the New Zealand soap opera Shortland Street.
Contains	Tita Muñoz	Occupation	Actress	Maria Theresa "Tita" Sanchez Muñoz (1926/1927 - April 11, 2009) was a Filipina actress. Muñoz started her career in radio in the 1950s. She moved to Sampaguita Pictures where she played mostly character roles. She received two FAMAS Best Supporting Actress Nominations, for Lilet (1971) and Patayin sa Sindak si Barbara (1974). During the 1960s, Muñoz and Ronald Remy became the first actors to ever kiss on Philippine television.
Contains	Tituss Burgess	Occupation	Actor	Tituss Burgess (born February 21, 1979) is an American actor and singer. He has appeared in four Broadway musicals and is known for his high tenor voice. He is a main cast member on the Netflix original series Unbreakable Kimmy Schmidt, for which he received a nomination for the Primetime Emmy Award for Outstanding Supporting Actor in a Comedy Series in 2015 and 2016.
Equal	Tom Magee	Occupation	Powerlifter	Tom Magee (born July 1, 1958) is a Canadian world champion powerlifter and strongman competitor from Winnipeg, Manitoba.
Contains	Torild Wardenær	Occupation	Poet	She made her literary debut 1994 with the poetry collection I pionértiden, which earned her Aschehoug's debutant prize. She received the Halldis Moren Vesaas Prize in 1998. She was awarded the Mads Wiel Nygaards Endowment and Herman Wildenvey Poetry Award in 1997. Among her latest collections are Paradiseffekten (2004) and PSI (2007).
Equal	Tony DeMarco (dancer)	Occupation	Dancer	Tony DeMarco (1 January 1898 – 14 November 1965) was an American burlesque/vaudeville dancer in the first half of the 20th century.Performing with his wife Sally, "The Dancing De Marcos" was an extremely successful exhibition ballroom dance team in the 1940s.
Contains	Mimoun Oaïssa	Occupation	Actor	Mimoun Oaïssa (born 11 March 1975 in Ait Said, Nador province, Morocco) is a Moroccan-Dutch actor and screenwriter. He graduated from Amsterdam Theatre School in 1999 and followed acting lessons abroad. He was a stage actor from 1998 till 2001 and then quit to start acting on screen. His major films include Hush Hush Baby and Schnitzel Paradise. For his role in the latter he won the 2005 Golden Calf Award for Best Supporting Actor.
Contains	Kjell Grede	Occupation	Director	His 1967 film Hugo and Josephine won the Guldbagge Award for Best Film and Grede won the award for Best Director at the 5th Guldbagge Awards. His film Harry Munter was entered into the 1970 Cannes Film Festival. His 1987 film Hip Hip Hurrah! won him the award for Best Director at the 23rd Guldbagge Awards. In 1991 his film Good Evening, Mr. Wallenberg was entered into the 41st Berlin International Film Festival and won four awards at the 26th Guldbagge Awards, including Best Film and Best Direction.
Contains	Kjell Grede	Occupation	Director	His 1967 film Hugo and Josephine won the Guldbagge Award for Best Film and Grede won the award for Best Director at the 5th Guldbagge Awards. His film Harry Munter was entered into the 1970 Cannes Film Festival. His 1987 film Hip Hip Hurrah! won him the award for Best Director at the 23rd Guldbagge Awards. In 1991 his film Good Evening, Mr. Wallenberg was entered into the 41st Berlin International Film Festival and won four awards at the 26th Guldbagge Awards, including Best Film and Best Direction.
Equal	Larry Gelman	Occupation	Film	Larry Gelman (born November 3, 1930) is an American film and television character actor. He is best known for playing Dr. Bernie Tupperman on the US TV series The Bob Newhart Show and Vinnie, the poker playing friend of Oscar and Felix, in the original TV series version of The Odd Couple. He also made numerous appearances as Dr. Hubie Binder in the US TV series Maude and as officer Bernstein on Eight Is Enough. He played Max as a regular member of the cast of the situation comedy Needles and Pins, which ran for 14 episodes in the autumn of 1973.
Equal	Lucila Gamero de Medina	Occupation	Novelist	Lucila Gamero de Medina (12 June 1873 – 23 January 1964) was a Honduran romantic novelist. She was the first woman in Honduras to produce literary work and in Central America to publish novels. Critic and writer Luis Marín Otero called her "the grand dame of Honduran letters". She was trained as a physician and pharmacist and though prevented from studying at the university was awarded a diploma of Medicine and Surgery from the dean of the Faculty of Medicine. She headed a hospital and served as a health inspector in her native department. In addition to her medical and literary efforts, Gamero was an active feminist and suffragette, attending conferences and participating in the founding of the Comité Femenino Hondureño.
Equal	Jacques l'Hermite	Occupation	Merchant	Jacques l'Hermite (c. 1582 – June 2, 1624), sometimes also known as Jacques le Clerq, was a Dutch merchant, explorer and admiral known for his journey around the globe with the Nassau Fleet (1623–1626) and for his blockade and raid on Callao in 1624 during that same voyage in which he also died. He served the Dutch East India Company as chief merchant in Bantam and Ambon Island in the Dutch East Indies. The Chilean Hermite Islands near Cape Horn which his fleet charted in February 1624 are named after him.
Contains	Laurence Marks (American writer)	Occupation	Writer	Laurence Marks (August 23, 1915 – January 1, 1993) was an American writer for radio and television shows including Hogan's Heroes and M*A*S*H. He received an award from the Writers Guild of America.
Equal	Tetsurō Sagawa	Occupation	Actor	Tetsurō Sagawa (瑳川哲朗 Sagawa Tetsurō, born January 22, 1937) is a Japanese actor and voice actor from Tateyama, Chiba. He is a graduate of Waseda University.
Equal	Josh Sussman	Occupation	Actor	Josh Sussman (born December 30, 1983) is an American actor, best known for his role as Hugh Normous in Wizards of Waverly Place and his role as Jacob Ben Israel in Glee.
Equal	Kurt Stern	Occupation	Screenwriter	Kurt Stern (1907 in Berlin – 1989) was a screenwriter who worked for Deutsche Film-Aktiengesellschaft (DEFA) in East Germany. He worked in partnership with his wife Jeanne (née Machin). In 1953, together with director Martin Hellberg, the Sterns were awarded the Gold Medal of the World Peace Council for the film Das verurteilte Dorf ("The condemned village").
Equal	Peter Symonds	Occupation	Merchant	Peter Symonds (c. 1528–1586/7) was a wealthy English merchant and benefactor, most notable for founding a number of almshouses for charitable endeavors in Southeast England. His most prominent achievement was the foundation of an almshouse in Winchester which later was recommissioned into Peter Symonds College.
Equal	Rubina Dilaik	Occupation	Actress	Rubina Dilaik is an Indian actress. She gained recognition by playing Radhika, the main character in the TV series Choti Bahu, and was playing the same role in its sequel Choti Bahu 2. Dilaik was ranked No. 26 in the Top 50 Sexiest Asian Women List by Eastern Eye. Currently, she is playing the female lead in the series Shakti — Astitva Ke Ehsaas Ki on Colors TV.
